"","subject","block","trial","rt","card1","card2","ch_card","unch_card","key1","key2","response_key","ch_key","unch_key","reward","reward_oneback","prob_ch","prob_unch","stay_card","stay_key","stay_unch","reoffer_ch_card","reoffer_unch_card","reoffer_ch_key","reoffer_unch_key","accuracy","delta_exp_value","number_inattention","instructions_mistakes","bonus","card_in_left","card_in_middle_left","card_in_middle_right","card_in_right","counterbalance_reward","counterbalance_stimuli","prob_reward_1","prob_reward_2","prob_reward_3","prob_reward_4","exclude_trial_omission","exclude_inattention"
"55",1,"2",56,905,"red","cyan","cyan","red","left","middle_left","f","middle_left","left","1","0",0.467,0.614,0,0,1,1,1,0,1,0,0.147,0,0,0.005,"red","cyan","null","null",1,2,0.614,0.467,0.774,0.467,FALSE,FALSE
"56",1,"2",57,650,"red","cyan","cyan","red","right","left","s","left","right","0","1",0.632,0.491,1,0,1,1,1,0,1,1,0.141,0,0,0,"cyan","null","null","red",1,2,0.632,0.454,0.773,0.491,FALSE,FALSE
"57",1,"2",58,593,"red","cyan","red","cyan","middle_left","middle_right","f","middle_left","middle_right","0","0",0.431,0.779,0,0,0,1,1,0,0,0,0.348,0,0,0,"null","red","cyan","null",1,2,0.642,0.431,0.779,0.501,FALSE,FALSE
"58",1,"2",59,1031,"red","cyan","cyan","red","right","left","s","left","right","1","0",0.665,0.52,0,0,0,1,1,0,0,1,0.145,0,0,0.005,"cyan","null","null","red",1,2,0.665,0.409,0.78,0.52,FALSE,FALSE
"59",1,"2",60,459,"red","cyan","red","cyan","middle_right","left","h","middle_right","left","1","1",0.814,0.676,0,0,0,1,1,1,0,1,0.138,0,0,0.005,"cyan","null","red","null",1,2,0.676,0.405,0.814,0.531,FALSE,FALSE
"60",1,"2",61,345,"red","cyan","red","cyan","middle_right","left","h","middle_right","left","1","1",0.819,0.713,1,1,0,1,1,1,1,1,0.106,0,0,0.005,"cyan","null","red","null",1,2,0.713,0.408,0.819,0.535,FALSE,FALSE
"61",1,"2",62,397,"red","cyan","cyan","red","right","middle_right","h","middle_right","right","1","1",0.801,0.515,0,1,0,1,1,1,0,1,0.286,0,0,0.005,"null","null","cyan","red",1,2,0.668,0.4,0.801,0.515,FALSE,FALSE
"62",1,"2",63,388,"red","cyan","red","cyan","middle_right","left","h","middle_right","left","1","1",0.841,0.676,0,1,0,1,1,1,0,1,0.165,0,0,0.005,"cyan","null","red","null",1,2,0.676,0.394,0.841,0.535,FALSE,FALSE
"63",1,"2",64,1019,"red","cyan","cyan","red","right","middle_left","f","middle_left","right","1","1",0.395,0.507,0,0,0,1,1,0,0,0,0.112,0,0,0.005,"null","cyan","null","red",1,2,0.711,0.395,0.845,0.507,FALSE,FALSE
"64",1,"2",65,677,"red","cyan","red","cyan","left","right","s","left","right","1","1",0.663,0.477,0,0,0,1,1,0,1,1,0.186,0,0,0.005,"red","null","null","cyan",1,2,0.663,0.412,0.836,0.477,FALSE,FALSE
"65",1,"2",66,460,"red","cyan","cyan","red","left","middle_right","h","middle_right","left","1","1",0.85,0.637,0,0,0,1,1,1,0,1,0.213,0,0,0.005,"red","null","cyan","null",1,2,0.637,0.398,0.85,0.487,FALSE,FALSE
"66",1,"2",67,547,"red","cyan","red","cyan","middle_left","right","f","middle_left","right","0","1",0.411,0.475,0,0,0,1,1,0,0,0,0.064,0,0,0,"null","red","null","cyan",1,2,0.641,0.411,0.85,0.475,FALSE,FALSE
"67",1,"2",68,533,"red","cyan","cyan","red","left","middle_right","h","middle_right","left","1","0",0.85,0.652,0,0,0,1,1,0,0,1,0.198,0,0,0.005,"red","null","cyan","null",1,2,0.652,0.413,0.85,0.527,FALSE,FALSE
"68",1,"2",69,404,"red","cyan","cyan","red","right","middle_right","h","middle_right","right","1","1",0.85,0.583,1,1,0,1,1,1,0,1,0.267,0,0,0.005,"null","null","cyan","red",1,2,0.631,0.386,0.85,0.583,FALSE,FALSE
"69",1,"2",70,314,"red","cyan","cyan","red","right","middle_right","h","middle_right","right","1","1",0.85,0.569,1,1,0,1,1,1,1,1,0.281,0,0,0.005,"null","null","cyan","red",1,2,0.623,0.394,0.85,0.569,FALSE,FALSE
"70",1,"2",71,423,"red","cyan","cyan","red","right","left","s","left","right","0","1",0.655,0.555,1,0,0,1,1,0,1,1,0.1,0,0,0,"cyan","null","null","red",1,2,0.655,0.396,0.824,0.555,FALSE,FALSE
"71",1,"2",72,389,"red","cyan","red","cyan","middle_right","right","h","middle_right","right","1","0",0.846,0.573,0,0,0,1,1,0,1,1,0.273,0,0,0.005,"null","null","red","cyan",1,2,0.662,0.385,0.846,0.573,FALSE,FALSE
"72",1,"2",73,422,"red","cyan","cyan","red","right","middle_right","h","middle_right","right","0","1",0.85,0.581,0,1,0,1,1,1,1,1,0.269,0,0,0,"null","null","cyan","red",1,2,0.685,0.407,0.85,0.581,FALSE,FALSE
"73",1,"2",74,617,"red","cyan","red","cyan","middle_left","middle_right","f","middle_left","middle_right","0","0",0.412,0.85,0,0,0,1,1,1,0,0,0.438,0,0,0,"null","red","cyan","null",1,2,0.687,0.412,0.85,0.535,FALSE,FALSE
"74",1,"2",75,864,"red","cyan","red","cyan","left","middle_right","s","left","middle_right","1","0",0.656,0.847,1,0,0,1,1,0,1,0,0.191,0,0,0.005,"red","null","cyan","null",1,2,0.656,0.408,0.847,0.519,FALSE,FALSE
"75",1,"2",76,493,"red","cyan","cyan","red","middle_left","left","s","left","middle_left","1","1",0.662,0.371,0,1,0,1,1,1,0,1,0.291,0,0,0.005,"cyan","red","null","null",1,2,0.662,0.371,0.836,0.48,FALSE,FALSE
"76",1,"2",77,459,"red","cyan","cyan","red","right","left","s","left","right","1","1",0.692,0.453,1,1,0,1,1,1,0,1,0.239,0,0,0.005,"cyan","null","null","red",1,2,0.692,0.407,0.83,0.453,FALSE,FALSE
"77",1,"2",78,1402,"red","cyan","red","cyan","right","middle_left","k","right","middle_left","0","1",0.475,0.399,0,0,1,1,1,0,1,1,0.076,0,0,0,"null","cyan","null","red",1,2,0.731,0.399,0.825,0.475,FALSE,FALSE
"78",1,"2",79,796,"red","cyan","cyan","red","middle_right","middle_left","f","middle_left","middle_right","0","0",0.378,0.8,0,0,1,1,1,0,1,0,0.422,0,0,0,"null","cyan","red","null",1,2,0.723,0.378,0.8,0.501,FALSE,FALSE
"79",1,"2",80,729,"red","cyan","cyan","red","right","middle_right","h","middle_right","right","0","0",0.788,0.499,1,0,1,1,1,0,1,1,0.289,0,0,0,"null","null","cyan","red",1,2,0.72,0.362,0.788,0.499,FALSE,FALSE
"80",1,"2",81,442,"red","cyan","cyan","red","middle_left","left","s","left","middle_left","1","0",0.704,0.375,1,0,0,1,1,0,0,1,0.329,0,0,0.005,"cyan","red","null","null",1,2,0.704,0.375,0.828,0.487,FALSE,FALSE
"81",1,"2",82,564,"red","cyan","red","cyan","middle_left","right","f","middle_left","right","0","1",0.351,0.494,0,0,1,1,1,0,1,0,0.143,0,0,0,"null","red","null","cyan",1,2,0.723,0.351,0.837,0.494,FALSE,FALSE
